t, contact_pattern_index, p_x_true, p_y_true, p_z_true, v_x_true, v_y_true, v_z_true, p_1x_true, p_1y_true, p_1z_true, p_2x_true, p_2y_true, p_2z_true, p_3x_true, p_3y_true, p_3z_true, p_4x_true, p_4y_true, p_4z_true, p_x_est, p_y_est, p_z_est, v_x_est, v_y_est, v_z_est, p_1x_est, p_1y_est, p_1z_est, p_2x_est, p_2y_est, p_2z_est, p_3x_est, p_3y_est, p_3z_est, p_4x_est, p_4y_est, p_4z_est, y_p_1x, y_p_1y, y_p_1z, y_p_2x, y_p_2y, y_p_2z, y_p_3x, y_p_3y, y_p_3z, y_p_4x, y_p_4y, y_p_4z, y_v_1x, y_v_1y, y_v_1z, y_v_2x, y_v_2y, y_v_2z, y_v_3x, y_v_3y, y_v_3z, y_v_4x, y_v_4y, y_v_4z, P_p_bx_std, P_p_by_std, P_p_bz_std, P_v_bx_std, P_v_by_std, P_v_bz_std, P_p_1x_std, P_p_1y_std, P_p_1z_std, P_p_2x_std, P_p_2y_std, P_p_2z_std, P_p_3x_std, P_p_3y_std, P_p_3z_std, P_p_4x_std, P_p_4y_std, P_p_4z_std, p_vpsp_x, p_vpsp_y, p_vpsp_z
0.010,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224809,0.000000,0.000000,-0.000004,0.200000,0.075000,0.023630,0.200000,-0.075000,0.023630,-0.200000,0.075000,0.023630,-0.200000,-0.075000,0.023630,0.000000,0.000000,0.025000,0.000000,0.000000,0.025000,0.000000,0.000000,0.025000,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000996,0.000000,0.000996,0.002689,0.002689,0.002689,0.004971,0.004971,0.004971,0.004971,0.004971,0.004971,0.004971,0.004971,0.004971,0.004971,0.004971,0.004971,0.0,0.0,0.0
0.014,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224806,0.000000,0.000000,-0.000005,0.200000,0.075000,0.024752,0.200000,-0.075000,0.024752,-0.200000,0.075000,0.024752,-0.200000,-0.075000,0.024752,0.000000,0.000000,0.001179,0.000000,0.000000,0.001179,0.000000,0.000000,0.001179,0.000000,0.000000,0.001179,0.000000,0.000000,0.000004,0.000000,0.000000,0.000004,0.000000,0.000000,0.000004,0.000000,0.000000,0.000004,0.000996,0.000000,0.000996,0.003662,0.003662,0.003662,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.0,0.0,0.0
0.018,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224803,0.000000,0.000000,-0.000005,0.200000,0.075000,0.024801,0.200000,-0.075000,0.024801,-0.200000,0.075000,0.024801,-0.200000,-0.075000,0.024801,0.000000,0.000000,0.000054,0.000000,0.000000,0.000054,0.000000,0.000000,0.000054,0.000000,0.000000,0.000054,0.000000,0.000000,0.000005,0.000000,0.000000,0.000005,0.000000,0.000000,0.000005,0.000000,0.000000,0.000005,0.000997,0.000000,0.000997,0.004416,0.004416,0.004416,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.004985,0.0,0.0,0.0
0.026,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224801,0.000000,0.000000,-0.000006,0.200000,0.075000,0.024801,0.200000,-0.075000,0.024801,-0.200000,0.075000,0.024801,-0.200000,-0.075000,0.024801,0.000000,0.000000,0.000002,0.000000,0.000000,0.000002,0.000000,0.000000,0.000002,0.000000,0.000000,0.000002,0.000000,0.000000,0.000005,0.000000,0.000000,0.000005,0.000000,0.000000,0.000005,0.000000,0.000000,0.000005,0.000998,0.000000,0.000998,0.005049,0.005049,0.005049,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.0,0.0,0.0
0.030,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224798,0.000000,0.000000,-0.000006,0.200000,0.075000,0.024798,0.200000,-0.075000,0.024798,-0.200000,0.075000,0.024798,-0.200000,-0.075000,0.024798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.000000,0.000000,0.000006,0.000000,0.000000,0.000006,0.000000,0.000000,0.000006,0.001000,0.000000,0.000999,0.005598,0.005598,0.005598,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.0,0.0,0.0
0.037,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224796,0.000000,0.000000,-0.000008,0.200000,0.075000,0.024796,0.200000,-0.075000,0.024796,-0.200000,0.075000,0.024796,-0.200000,-0.075000,0.024796,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000006,0.000000,0.000000,0.000006,0.000000,0.000000,0.000006,0.000000,0.000000,0.000006,0.001002,0.000000,0.001002,0.006086,0.006086,0.006086,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.004986,0.0,0.0,0.0
0.042,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.224686,0.000000,0.000000,-0.048225,0.200000,0.075000,0.024691,0.200000,-0.075000,0.024691,-0.200000,0.075000,0.024691,-0.200000,-0.075000,0.024691,0.000000,0.000000,-0.000123,0.000000,0.000000,-0.000123,0.000000,0.000000,-0.000123,0.000000,0.000000,-0.000123,0.000000,0.000000,0.049058,0.000000,0.000000,0.049058,0.000000,0.000000,0.049058,0.000000,0.000000,0.049058,0.001005,0.000000,0.001005,0.006523,0.006523,0.006523,0.004987,0.004987,0.004987,0.004987,0.004987,0.004987,0.004987,0.004987,0.004987,0.004987,0.004987,0.004987,0.0,0.0,0.0
0.048,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.224357,0.000000,0.000000,-0.095414,0.200000,0.075000,0.024373,0.200000,-0.075000,0.024373,-0.200000,0.075000,0.024373,-0.200000,-0.075000,0.024373,0.000000,0.000000,-0.000369,0.000000,0.000000,-0.000369,0.000000,0.000000,-0.000369,0.000000,0.000000,-0.000369,0.000000,0.000000,0.097275,0.000000,0.000000,0.097275,0.000000,0.000000,0.097275,0.000000,0.000000,0.097275,0.001009,0.000000,0.001009,0.006918,0.006918,0.006918,0.004988,0.004988,0.004988,0.004988,0.004988,0.004988,0.004988,0.004988,0.004988,0.004988,0.004988,0.004988,0.0,0.0,0.0
0.053,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.223824,0.000000,0.000000,-0.141405,0.200000,0.075000,0.023851,0.200000,-0.075000,0.023851,-0.200000,0.075000,0.023851,-0.200000,-0.075000,0.023851,0.000000,0.000000,-0.000616,0.000000,0.000000,-0.000616,0.000000,0.000000,-0.000616,0.000000,0.000000,-0.000616,0.000000,0.000000,0.144464,0.000000,0.000000,0.144464,0.000000,0.000000,0.144464,0.000000,0.000000,0.144464,0.001014,0.000000,0.001014,0.007278,0.007278,0.007278,0.004989,0.004989,0.004989,0.004989,0.004989,0.004989,0.004989,0.004989,0.004989,0.004989,0.004989,0.004989,0.0,0.0,0.0
0.060,0,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.192985,0.110948,0.073721,0.192986,-0.110948,0.073720,-0.193015,0.110950,0.073721,-0.193012,-0.110969,0.073723,0.000000,0.000000,0.223101,0.000000,0.000000,-0.186050,0.200000,0.075000,0.023139,0.200000,-0.075000,0.023139,-0.200000,0.075000,0.023139,-0.200000,-0.075000,0.023139,0.000000,0.000000,-0.000857,0.000000,0.000000,-0.000857,0.000000,0.000000,-0.000857,0.000000,0.000000,-0.000857,0.000000,0.000000,0.190455,0.000000,0.000000,0.190455,0.000000,0.000000,0.190455,0.000000,0.000000,0.190455,0.001020,0.000000,0.001020,0.007606,0.007606,0.007606,0.004990,0.004990,0.004990,0.004990,0.004990,0.004990,0.004990,0.004990,0.004990,0.004990,0.004990,0.004990,0.0,0.0,0.0
